ids,names,popularity,markets,artists,release_date,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,musicalkey,musicalmode,time_signature,ids_artist,names_artist,monthly_listeners,popularity_artist,followers,genres,first_release,last_release,num_releases,playlists_found_artist
44sYqNBttbXNxya33FJ3Dj,Camelot,75,185,0ErzCpIMyLcjPiwT4elrtZ,07/08/2020,148759,0.0849,0.787,0.713,0,0.717,-5.252,0.401,175.046,0.761,7,1,4,0ErzCpIMyLcjPiwT4elrtZ,nle choppa,19613772,79,7845158,"memphis hip hop, rap",2019,2024,20,RapCaviar
3QYGJb41WJjj6xs68Pvf1z,SPLAT!,29,185,3AYjDTXEMqJP0h1iXq8eYO,11/10/2023,153000,0.0291,0.728,0.889,0.0837,0.121,-6.037,0.0367,139.956,0.654,9,1,4,3AYjDTXEMqJP0h1iXq8eYO,gglum,62008,27,6460,,2020,2024,15,Fresh Finds Rock 
0uEp9E98JB5awlA084uaIg,Doo Wop (That Thing),78,185,2Mu5NfyYm8n5iTomuKAEHl,25/08/1998,320266,0.0393,0.535,0.505,0,0.0923,-8.926,0.245,99.935,0.495,2,0,4,2Mu5NfyYm8n5iTomuKAEHl,ms. lauryn hill,15339610,73,2808135,"alternative r&b, conscious hip hop, hip hop, neo soul, new jersey rap, r&b",1996,2019,10,Throwback Thursday
4ZyE9TB38tLADzmv1OImVU,Athenian Mind,40,185,7jpxxOSOJX0PCvKXAbQs2I,15/10/2021,152895,0.977,0.22,0.00612,0.909,0.103,-32.374,0.0403,65.402,0.0797,9,1,4,7jpxxOSOJX0PCvKXAbQs2I,x-genie,119171,33,209,sleep,2020,2024,13,Atmospheric Calm
5D1S7lI0guR6YcGcKjtNbq,Autumn Song,53,185,1Xk9H6dztBzvOCUfFUaxRQ,29/10/2023,150514,0.996,0.493,0.0127,0.955,0.0774,-30.484,0.06,126.827,0.298,6,0,4,1Xk9H6dztBzvOCUfFUaxRQ,emmanuel sapphire,373047,47,142,,2023,2024,7,Classical Sleep
0trHOzAhNpGCsGBEu7dOJo,N.Y. State of Mind,73,185,20qISvAhX20dpIbOOzGK3q,19/04/1994,293973,0.0394,0.665,0.91,0,0.227,-4.682,0.223,84.099,0.887,6,0,4,20qISvAhX20dpIbOOzGK3q,nas,9883541,69,3695620,"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap",2002,2023,20,Spilled Ink
5ZDIwpR2JMwuRM8xumtmxn,Down With Me,71,183,4Ga1P7PMIsmqEZqhYZQgDo,04/01/2024,120034,0.112,0.712,0.588,0,0.21,-5.332,0.0543,114.929,0.471,9,0,4,4Ga1P7PMIsmqEZqhYZQgDo,lil tecca,20270600,77,7208018,"melodic rap, pluggnb, rap",2019,2024,20,RapCaviar
3SAga35lAPYdjj3qyfEsCF,Feel It - From The Original Series “Invincible”,88,183,5y8tKLUfMvliMe8IKamR32,28/03/2024,157974,0.0288,0.565,0.593,0,0.215,-5.864,0.0883,120.509,0.429,8,1,4,5y8tKLUfMvliMe8IKamR32,d4vd,24867439,78,2428542,bedroom pop,2022,2024,20,Alone Again
0AjmK0Eai4zGrLaJwPvrDp,Too Sweet,88,4,2FXC3k01G6Gw61bmprjgqS,22/03/2024,251424,0.0295,0.741,0.62,0.000809,0.0398,-5.505,0.0412,117.038,0.934,10,1,4,2FXC3k01G6Gw61bmprjgqS,hozier,36403547,85,6679949,"irish singer-songwriter, modern rock, pov: indie",2014,2024,20,Chill Pop
6KS5iyM4uDuJ6oAacMSXha,Princess Going Digital,65,183,21UPYSRWFKwtqvSAnFnSvS,09/06/2023,189440,0.0251,0.498,0.729,0.0227,0.233,-6.583,0.039,130.125,0.372,10,0,5,21UPYSRWFKwtqvSAnFnSvS,amaarae,6335704,64,370393,"afro r&b, afrobeats, alternative r&b, ghanaian alternative, ghanaian pop",2017,2024,19,'fit check
7LHufz5mWCEylSx2SlY1zK,Quitting Time,15,185,25PniBi23b8oE5BXVRBp4S,05/12/2023,202222,0.988,0.565,0.212,0.864,0.0862,-16.048,0.104,190.05,0.59,0,1,4,25PniBi23b8oE5BXVRBp4S,waterhouse,3671,10,175,,2020,2023,18,Indie Bluegrass
2iCy2qfDdWN8duitTHeHSm,FUEGO,53,185,0DRiXmEOc6dJ6Rug3xi4HZ,20/03/2024,192586,0.1,0.845,0.757,0,0.398,-4.673,0.115,115.031,0.763,0,1,4,0DRiXmEOc6dJ6Rug3xi4HZ,the new six,255802,45,170980,k-pop boy group,2022,2024,10,Hallyu Boy Bands
2IMPPA9UZpqTnnVIy9lDHU,Love Me Back,67,185,24nUVBIlCGi4twz4nYxJum,11/10/2023,186293,0.35,0.72,0.842,0,0.336,-4.41,0.0493,112.026,0.894,11,1,4,24nUVBIlCGi4twz4nYxJum,fromis_9,1550305,59,1226363,"k-pop, k-pop girl group",2017,2023,15,Satang Mix (사탕 믹스)
6iiCzEd1ULpq7nXbZVQ4pi,Soak City (Do it),39,0,4VCriUU9CsPnUvoAsxVk1p,16/06/2023,123547,0.0658,0.861,0.694,0,0.286,-6.358,0.187,101.919,0.257,9,1,4,4VCriUU9CsPnUvoAsxVk1p,310babii,6134109,65,87493,,2023,2024,11,RapCaviar
4QWXSTeUHFzU0INh7SNqSU,Feel Like This,58,184,0jPnVIasXzBYjrlpO5irii,26/08/2022,196162,0.141,0.536,0.605,0,0.0614,-5.292,0.0338,130.053,0.341,7,1,4,0jPnVIasXzBYjrlpO5irii,ingrid andress,2262327,56,156060,"contemporary country, country pop",2019,2023,20,Country Gold
68r87x3VZdAMhv8nBVuynz,Queencard,62,2,2AfmfGFbe0A0WsTYm0SDTx,15/05/2023,161240,0.0328,0.815,0.835,0.000282,0.27,-2.829,0.0475,129.988,0.693,4,0,4,2AfmfGFbe0A0WsTYm0SDTx,(g)i-dle,11794528,73,8992449,k-pop girl group,2020,2024,20,Cardio
0fYVliAYKHuPmECRs1pbRf,Renegades,77,181,3NPpFNZtSTHheNBaWC82rB,30/06/2015,195200,0.0144,0.526,0.862,0.0597,0.229,-6.003,0.0905,90.052,0.528,2,1,4,3NPpFNZtSTHheNBaWC82rB,x ambassadors,14292564,72,2975910,"modern alternative rock, modern rock, stomp pop",2013,2024,20,Sunrise Run
67QGnT1Vdfuuy4HkLTUVjj,11:11,57,185,3qNVuliS40BLgXGxhdBdqu,05/04/2017,223451,0.677,0.445,0.528,0,0.155,-7.243,0.0744,203.155,0.511,10,1,4,3qNVuliS40BLgXGxhdBdqu,taeyeon,4041511,67,2831781,k-pop,2016,2024,20,노래방 인기가요 (Singing Room K-Pop)
2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,82,112,26T3LtbuGT1Fu9m0eRq5X3,08/10/2013,208760,0.0807,0.636,0.676,0,0.0831,-3.442,0.0263,113.98,0.273,2,1,4,26T3LtbuGT1Fu9m0eRq5X3,cage the elephant,17723842,74,3626017,"modern alternative rock, modern rock, pov: indie, punk blues, rock",2009,2024,20,Throwback Thursday
3tY6RIiYIUUnxzkIQhlTxt,Stay in Your Lane,55,185,4ab8hugVrmFzuV4AEGXHgr,01/03/2024,177335,0.995,0.413,0.0117,0.914,0.107,-27.454,0.0368,98.274,0.181,5,1,4,4ab8hugVrmFzuV4AEGXHgr,nineve wilson,229093,41,55,,2021,2024,8,Jazz for Sleep
3JWltf5Em6j7uhJhSNFneD,Paths,64,185,3Th7uQxL5iOFrWHZ4GZIzP,06/10/2023,172595,0.992,0.503,0.0222,0.935,0.0842,-26.065,0.0391,75.101,0.341,1,1,4,3Th7uQxL5iOFrWHZ4GZIzP,silje mørk,539205,45,181,background piano,2021,2024,12,Perfect Concentration
